rdf_type,replacing_term,replacing_term_localName,replacing_term_namespace,replaced_term,replaced_term_namespace,replaced_term_localName
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/measurementID,measurementID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/eventMeasurementID,http://rs.tdwg.org/dwc/terms/,eventMeasurementID
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/measurementRemarks,measurementRemarks,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/eventMeasurementRemarks,http://rs.tdwg.org/dwc/terms/,eventMeasurementRemarks
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/measurementType,measurementType,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/eventMeasurementType,http://rs.tdwg.org/dwc/terms/,eventMeasurementType
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/measurementUnit,measurementUnit,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/eventMeasurementUnit,http://rs.tdwg.org/dwc/terms/,eventMeasurementUnit
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/measurementValue,measurementValue,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/eventMeasurementValue,http://rs.tdwg.org/dwc/terms/,eventMeasurementValue
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/dataGeneralizations,dataGeneralizations,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/Generalizations,http://rs.tdwg.org/dwc/terms/,Generalizations
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/higherTaxonNameID,higherTaxonNameID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/HigherTaxonID,http://rs.tdwg.org/dwc/terms/,HigherTaxonID
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/higherClassification,higherClassification,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/higherTaxonName,http://rs.tdwg.org/dwc/terms/,higherTaxonName
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/parentNameUsageID,parentNameUsageID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/higherTaxonNameID,http://rs.tdwg.org/dwc/terms/,higherTaxonNameID
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/organismID,organismID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/individualID,http://rs.tdwg.org/dwc/terms/,individualID
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/eventDate,eventDate,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/LatestDateCollected,http://rs.tdwg.org/dwc/terms/,LatestDateCollected
