document,lead_author,author,editor,translator,reviewer,review_manager,contributor,contributor_role,contributor_literal
http://rs.tdwg.org/sdd/doc/introduction/,,https://orcid.org/0000-0002-6658-6636,,,,,,author,Kevin R. Thiele
http://rs.tdwg.org/sdd/doc/introduction/,,https://orcid.org/0000-0002-6992-9446,,,,,,author,Robert A. Morris
http://rs.tdwg.org/sdd/doc/introduction/,,https://orcid.org/0000-0002-4601-8180,,,,,,author,P. Bryan Heidorn
http://rs.tdwg.org/sdd/doc/xmlschema/,,https://orcid.org/0000-0001-7023-7386,,,,,,author,Gregor Hagedorn
http://rs.tdwg.org/sdd/doc/xmlschema/,,https://orcid.org/0000-0002-6658-6636,,,,,,author,Kevin R. Thiele
http://rs.tdwg.org/sdd/doc/xmlschema/,,https://orcid.org/0000-0002-6992-9446,,,,,,author,Robert A. Morris
http://rs.tdwg.org/tcs/doc/guide/,,,https://orcid.org/0000-0002-0023-2595,,,,,author,Jessie Kennedy
http://rs.tdwg.org/tcs/doc/guide/,,https://orcid.org/0000-0003-4581-1379,,,,,,author,Roger Hyam
http://rs.tdwg.org/tcs/doc/xmlschema/,,https://orcid.org/0000-0002-0023-2595,,,,,,author,Jessie Kennedy
http://rs.tdwg.org/tcs/doc/xmlschema/,,https://orcid.org/0000-0003-4581-1379,,,,,,author,Roger Hyam
http://rs.tdwg.org/delta/doc/definition/,,http://viaf.org/viaf/48257155,,,,,,author,Michael J. Dallwitz
http://rs.tdwg.org/delta/doc/definition/,,http://viaf.org/viaf/276948380,,,,,,author,Toni Anne Paine
http://rs.tdwg.org/ncd/doc/guide/,,https://orcid.org/0000-0003-2231-6228,,,,,,author,Neil Thomson
http://rs.tdwg.org/ncd/doc/guide/,,https://orcid.org/0000-0003-4581-1379,,,,,,author,Roger Hyam
http://rs.tdwg.org/ncd/doc/guide/,,https://orcid.org/0000-0002-8339-728X,,,,,,author,Constance Rinaldo
http://rs.tdwg.org/ncd/doc/guide/,,https://orcid.org/0000-0001-9382-5594,,,,,,author,Carol Roetzel Butler
http://rs.tdwg.org/ncd/doc/guide/,,http://www.wikidata.org/entity/Q111976099,,,,,,author,Doug Holland
http://rs.tdwg.org/ncd/doc/guide/,,http://viaf.org/viaf/236192,,,,,,author,Barbara Mathé
http://rs.tdwg.org/ncd/doc/guide/,,https://orcid.org/0000-0002-4737-745X,,,,,,author,Günter Waibel
http://rs.tdwg.org/ncd/doc/guide/,,https://orcid.org/0000-0002-3090-1761,,,,,,author,Wouter Addink
http://rs.tdwg.org/ncd/doc/guide/,,http://viaf.org/viaf/278739412,,,,,,author,Ruud Altenburg
http://rs.tdwg.org/ncd/doc/specification/,,https://orcid.org/0000-0003-2231-6228,,,,,,author,Neil Thomson
http://rs.tdwg.org/ncd/doc/specification/,,https://orcid.org/0000-0003-4581-1379,,,,,,author,Roger Hyam
http://rs.tdwg.org/ncd/doc/specification/,,https://orcid.org/0000-0002-8339-728X,,,,,,author,Constance Rinaldo
http://rs.tdwg.org/ncd/doc/specification/,,https://orcid.org/0000-0001-9382-5594,,,,,,author,Carol Roetzel Butler
http://rs.tdwg.org/ncd/doc/specification/,,http://www.wikidata.org/entity/Q111976099,,,,,,author,Doug Holland
http://rs.tdwg.org/ncd/doc/specification/,,http://viaf.org/viaf/236192,,,,,,author,Barbara Mathé
http://rs.tdwg.org/ncd/doc/specification/,,https://orcid.org/0000-0002-4737-745X,,,,,,author,Günter Waibel
http://rs.tdwg.org/ncd/doc/specification/,,https://orcid.org/0000-0002-3090-1761,,,,,,author,Wouter Addink
http://rs.tdwg.org/ncd/doc/specification/,,http://viaf.org/viaf/278739412,,,,,,author,Ruud Altenburg
http://rs.tdwg.org/abcddna/doc/guide/,,http://www.wikidata.org/entity/Q84993120,,,,,,author,Gabriele Dröge
http://rs.tdwg.org/abcddna/doc/guide/,,http://viaf.org/viaf/77423299,,,,,,author,Holger Zetzsche
http://rs.tdwg.org/abcddna/doc/guide/,,http://viaf.org/viaf/265750549,,,,,,author,Birgit Gemeinholzer
http://rs.tdwg.org/abcddna/doc/guide/,,https://orcid.org/0000-0002-4325-4030,,,,,,author,Anton Güntsch
http://rs.tdwg.org/abcddna/doc/guide/,,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/21e8d5c7-464f-41c3-9e9c-1ce09b0d4f1f,,,,,,author,Wolf-Henning Kusber
http://rs.tdwg.org/abcddna/doc/guide/,,http://www.wikidata.org/entity/Q111976136,,,,,,author,Patricia Kelbert
http://rs.tdwg.org/abcddna/doc/guide/,,http://www.wikidata.org/entity/Q110140814,,,,,,author,Jörg Holetschek
http://rs.tdwg.org/abcddna/doc/guide/,,https://orcid.org/0000-0001-9945-7606,,,,,,author,Walter G. Berendsohn
http://rs.tdwg.org/abcddna/doc/xmlschema/,,,http://www.wikidata.org/entity/Q84993120,,,,,editor,Gabriele Dröge
http://rs.tdwg.org/hispid/doc/specification/,,,https://orcid.org/0000-0001-9832-3809,,,,,editor,Barry J. Conn
http://rs.tdwg.org/ebdc/doc/specification/,,,,,,,,author,Frances E M Cook
http://rs.tdwg.org/poss/doc/specification/,,http://viaf.org/viaf/17299201,,,,,,author,Hugh Synge
http://rs.tdwg.org/pnbd/doc/specification/,,http://viaf.org/viaf/44359106,,,,,,author,Frank A Bisby 
http://rs.tdwg.org/apn/doc/data/,,http://viaf.org/viaf/41921927,,,,,,author,Richard K. Brummitt
http://rs.tdwg.org/apn/doc/data/,,http://viaf.org/viaf/49306391,,,,,,author,C. Emma Powell
http://rs.tdwg.org/wgsrpd/doc/data/,,http://viaf.org/viaf/41921927,,,,,,author,Richard K. Brummitt
http://rs.tdwg.org/wgsrpd/doc/data/,,https://orcid.org/0000-0002-6321-9398,,,,,,author,Francisco Pando
http://rs.tdwg.org/wgsrpd/doc/data/,,http://viaf.org/viaf/26204975,,,,,,author,S. Hollis
http://rs.tdwg.org/wgsrpd/doc/data/,,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/1f870a85-7a31-473e-ad76-fcce00469c83,,,,,,author,Neil A. Brummitt
http://rs.tdwg.org/xdf/doc/article/,,http://viaf.org/viaf/232871584,,,,,,author,Richard J. White
http://rs.tdwg.org/xdf/doc/article/,,http://viaf.org/viaf/64067143,,,,,,author,Robert Allkin
http://rs.tdwg.org/xdf/doc/specification/,,http://viaf.org/viaf/64067143,,,,,,author,Robert Allkin
http://rs.tdwg.org/xdf/doc/specification/,,http://viaf.org/viaf/232871584,,,,,,author,Richard J. White
http://rs.tdwg.org/bphsup/doc/book/,,http://viaf.org/viaf/41889168,,,,,,author,Gavin D. R. Bridson
http://rs.tdwg.org/bphsup/doc/book/,,http://viaf.org/viaf/76413207,,,,,,author,Elizabeth R. Smith
http://rs.tdwg.org/ih/doc/book/,,,http://viaf.org/viaf/5004494,,,,,editor,Patricia K. Holmgren
http://rs.tdwg.org/ih/doc/book/,,,http://viaf.org/viaf/69002167,,,,,editor,Noel H. Holmgren
http://rs.tdwg.org/ih/doc/book/,,,http://viaf.org/viaf/66539117,,,,,editor,Lisa C. Barnett
http://rs.tdwg.org/itfbgpr/doc/specification/,http://viaf.org/viaf/194025057,,,,,,,lead author,Diane Wyse Jackson
http://rs.tdwg.org/itfbgpr/doc/specification/,,,http://viaf.org/viaf/194025057,,,,,lead author,Diane Wyse Jackson
http://rs.tdwg.org/itfbgpr/doc/specification/,,,http://www.wikidata.org/entity/Q51885215,,,,,editor,Christopher Hobson
http://rs.tdwg.org/itfbgpr/doc/specification/,,,https://orcid.org/0000-0001-9832-3809,,,,,editor,Barry Conn
http://rs.tdwg.org/itfbgpr/doc/specification/,,,http://viaf.org/viaf/41424576,,,,,editor,Richard Piacentini
http://rs.tdwg.org/itfbgpr/doc/specification/,,,https://orcid.org/0000-0002-5705-8655,,,,,editor,Steve Waldren
http://rs.tdwg.org/itfbgpr/doc/specification/,,,http://www.wikidata.org/entity/Q51892660,,,,,editor,Chris Ward
http://rs.tdwg.org/itfbgpr/doc/specification/,,https://orcid.org/0000-0002-2524-2773,,,,,,author,Ken Bailey
