document_modified,version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,label,definition,usage,notes,examples,type,tdwgutility_organizedInClass,term_localName
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/HostRockStratigraphy-BiostratigraphicAttribution-AppliesTo-2021-06-27,HostRockStratigraphy-BiostratigraphicAttribution-AppliesTo-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,HostRockStratigraphy BiostratigraphicAttribution AppliesTo,"Depending on the use of the type, this can further specify the actual part measured. For example, a measurement of temperature may be a surface, air or sub-surface measurement.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HostRockStratigraphy-BiostratigraphicAttribution-AppliesTo
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/DiageneticChange-2021-06-27,DiageneticChange-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,DiageneticChange,"Free text for describing any physical and chemical changes that took place in a sediment during the lithification process e.g. compaction, cementation, recrystallisation, dolomitisation and replacement.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DiageneticChange
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/HostRockStratigraphy-BiostratigraphicAttribution-2021-06-27,HostRockStratigraphy-BiostratigraphicAttribution-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,HostRockStratigraphy BiostratigraphicAttribution,A single declaration of a fossil zone or subzone.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HostRockStratigraphy-BiostratigraphicAttribution
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/CrystalMeasurement-CitationDetail-2021-06-27,CrystalMeasurement-CitationDetail-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,CrystalMeasurement CitationDetail,"Specific page, figure or illustration number(s) within the reference.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,CrystalMeasurement-CitationDetail
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/AssemblageOrigin-2021-06-27,AssemblageOrigin-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,AssemblageOrigin,"Free text description relating to the mode of origin of the assemblage e.g. unknown, allochthonous, autochthonous, paraautochthonous etc.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,AssemblageOrigin
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/AlterationType-2021-06-27,AlterationType-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,AlterationType,"Free text describing the type of change that has taken place e.g. chloritisation, migmatisation, cataclastic brecciation etc.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,AlterationType
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/CrystalMeasurements-2021-06-27,CrystalMeasurements-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,CrystalMeasurements,Container for measurements of crystal physical and chemical characteristics.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,CrystalMeasurements
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/Geologists-Text-2021-06-27,Geologists-Text-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,Geologists Text,Label text in a specific language.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Geologists-Text
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/AnalysisDateTime-TimeOfDayEnd-2021-06-27,AnalysisDateTime-TimeOfDayEnd-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,AnalysisDateTime TimeOfDayEnd,Time of day in hours from midnight for the end of a time period.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,AnalysisDateTime-TimeOfDayEnd
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/AnalysisDateTime-ExactDate-DateText-2021-06-27,AnalysisDateTime-ExactDate-DateText-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,AnalysisDateTime ExactDate DateText,The date in text format.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,AnalysisDateTime-ExactDate-DateText
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/AnalysisDateTime-DayNumberEnd-2021-06-27,AnalysisDateTime-DayNumberEnd-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,AnalysisDateTime DayNumberEnd,The Julian day number of the last day in a period.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,AnalysisDateTime-DayNumberEnd
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/AllocthonousMaterial-2021-06-27,AllocthonousMaterial-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,AllocthonousMaterial,Container for descriptive elements related to transported material ranging from glacial erratics to meteorites,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,AllocthonousMaterial
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/CrystalMeasurement-LowerValue-2021-06-27,CrystalMeasurement-LowerValue-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,CrystalMeasurement LowerValue,Lower or only value or fact text.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,CrystalMeasurement-LowerValue
