termList,term
http://rs-test.tdwg.org/dwc/iri/,http://rs-test.tdwg.org/dwc/iri/verbatimCoordinateSystem
http://rs-test.tdwg.org/dwc/iri/,http://rs-test.tdwg.org/dwc/iri/verbatimSRS
http://rs-test.tdwg.org/dwc/dcterms/,http://purl.org/dc/terms/accessRights
http://rs-test.tdwg.org/dwc/dcterms/,http://purl.org/dc/terms/bibliographicCitation
http://rs-test.tdwg.org/dwc/dcterms/,http://purl.org/dc/terms/language
http://rs-test.tdwg.org/dwc/dcterms/,http://purl.org/dc/terms/license
http://rs-test.tdwg.org/dwc/dcterms/,http://purl.org/dc/terms/Location
http://rs-test.tdwg.org/dwc/dcterms/,http://purl.org/dc/terms/modified
http://rs-test.tdwg.org/dwc/dcterms/,http://purl.org/dc/terms/references
http://rs-test.tdwg.org/dwc/dcterms/,http://purl.org/dc/terms/rightsHolder
http://rs-test.tdwg.org/dwc/dc/,http://purl.org/dc/elements/1.1/language
http://rs-test.tdwg.org/dwc/dc/,http://purl.org/dc/elements/1.1/type
http://rs-test.tdwg.org/ac/terms/,http://rs-test.tdwg.org/ac/terms/accessURI
http://rs-test.tdwg.org/ac/terms/,http://rs-test.tdwg.org/ac/terms/associatedObservationReference
http://rs-test.tdwg.org/ac/terms/,http://rs-test.tdwg.org/ac/terms/associatedSpecimenReference
http://rs-test.tdwg.org/ac/terms/,http://rs-test.tdwg.org/ac/terms/attributionLinkURL
http://rs-test.tdwg.org/ac/terms/,http://rs-test.tdwg.org/ac/terms/attributionLogoURL
http://rs-test.tdwg.org/ac/terms/,http://rs-test.tdwg.org/ac/terms/caption
http://rs-test.tdwg.org/ac/terms/,http://rs-test.tdwg.org/ac/terms/captureDevice
http://rs-test.tdwg.org/ac/terms/,http://rs-test.tdwg.org/ac/terms/commenter
http://rs-test.tdwg.org/ac/terms/,http://rs-test.tdwg.org/ac/terms/commenterLiteral
http://rs-test.tdwg.org/ac/terms/,http://rs-test.tdwg.org/ac/terms/comments
http://rs-test.tdwg.org/ac/terms/,http://rs-test.tdwg.org/ac/terms/derivedFrom
http://rs-test.tdwg.org/ac/terms/,http://rs-test.tdwg.org/ac/terms/digitizationDate
http://rs-test.tdwg.org/ac/terms/,http://rs-test.tdwg.org/ac/terms/fundingAttribution
http://rs-test.tdwg.org/ac/terms/,http://rs-test.tdwg.org/ac/terms/furtherInformationURL
http://rs-test.tdwg.org/ac/terms/,http://rs-test.tdwg.org/ac/terms/hashFunction
http://rs-test.tdwg.org/ac/terms/,http://rs-test.tdwg.org/ac/terms/hashValue
http://rs-test.tdwg.org/ac/terms/,http://rs-test.tdwg.org/ac/terms/hasServiceAccessPoint
http://rs-test.tdwg.org/ac/terms/,http://rs-test.tdwg.org/ac/terms/IDofContainingCollection
http://rs-test.tdwg.org/ac/terms/,http://rs-test.tdwg.org/ac/terms/licenseLogoURL
http://rs-test.tdwg.org/ac/terms/,http://rs-test.tdwg.org/ac/terms/licensingException
http://rs-test.tdwg.org/ac/terms/,http://rs-test.tdwg.org/ac/terms/metadataCreator
http://rs-test.tdwg.org/ac/terms/,http://rs-test.tdwg.org/ac/terms/metadataCreatorLiteral
http://rs-test.tdwg.org/ac/terms/,http://rs-test.tdwg.org/ac/terms/metadataLanguage
http://rs-test.tdwg.org/ac/terms/,http://rs-test.tdwg.org/ac/terms/metadataLanguageLiteral
http://rs-test.tdwg.org/ac/terms/,http://rs-test.tdwg.org/ac/terms/metadataProvider
