document_modified,version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,label,skos_broader,skos_inScheme,skos_exactMatch,controlled_value_string,definition,usage,notes,examples,dcam_memberOf,type,tdwgutility_organizedInClass,term_localName
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/m060-2020-10-13,m060-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,vinyl record,m002,m,,vinyl,physical vinyl record,,,,,http://www.w3.org/2004/02/skos/core#Concept,m,m060
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/m061-2020-10-13,m061-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,mixed CD (data and audio),m001,m,,Mixed-CD,physical compact disc containing both data and audio tracks,,,,,http://www.w3.org/2004/02/skos/core#Concept,m,m061
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/m062-2020-10-13,m062-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,OBJ,m004,m,,model/obj,media subtype for OBJ 3D models,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept,m,m062
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/m063-2020-10-13,m063-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,gLTF binary,m004,m,,model/gltf-binary,media subtype for Binary GL Transmission Format,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept,m,m063
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/m064-2020-10-13,m064-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,gLTF,m004,m,,model/gltf+json,media subtype for GL Transmission Format,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept,m,m064
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/m065-2020-10-13,m065-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,VRML,m004,m,,model/vrml,media subtype for Virtual Reality Modeling Language,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept,m,m065
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/m066-2020-10-13,m066-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,DICOM,m001,m,,application/dicom,media subtype for Digital Imaging and Communications in Medicine,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept,m,m066
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/m067-2020-10-13,m067-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,MTL,m004,m,,model/mtl,media subtype for OBJ Material Template Library,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept,m,m067
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/m068-2020-10-13,m068-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,X3D XML,m004,m,,model/x3d+xml,media subtype for X3D XML models,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept,m,m068
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/m069-2020-10-13,m069-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,CIFF raw image,m003,m,,image/x-canon-crw,unofficial media subtype for Camera Image File Format raw image,,"This media subtype is in use, but there is no subtype on the official IANA list.",,,http://www.w3.org/2004/02/skos/core#Concept,m,m069
