termListVersion,termVersion
http://rs.tdwg.org/dwc/version/terms/2009-01-23,http://rs.tdwg.org/dwc/terms/version/SampleAttributeUnit-2008-11-19
http://rs.tdwg.org/dwc/version/terms/2009-01-23,http://rs.tdwg.org/dwc/terms/version/SampleAttributeValue-2008-11-19
http://rs.tdwg.org/dwc/version/terms/2009-01-23,http://rs.tdwg.org/dwc/terms/version/SampleRemarks-2009-01-18
http://rs.tdwg.org/dwc/version/terms/2009-01-23,http://rs.tdwg.org/dwc/terms/version/SamplingAttributeID-2008-11-19
http://rs.tdwg.org/dwc/version/terms/2009-01-23,http://rs.tdwg.org/dwc/terms/version/SamplingAttributeType-2008-11-19
http://rs.tdwg.org/dwc/version/terms/2009-01-23,http://rs.tdwg.org/dwc/terms/version/SamplingEvent-2008-11-19
http://rs.tdwg.org/dwc/version/terms/2009-01-23,http://rs.tdwg.org/dwc/terms/version/SamplingEventAttributes-2008-11-19
http://rs.tdwg.org/dwc/version/terms/2009-01-23,http://rs.tdwg.org/dwc/terms/version/SamplingEventID-2008-11-19
http://rs.tdwg.org/dwc/version/terms/2009-01-23,http://rs.tdwg.org/dwc/terms/version/SamplingEventRemarks-2009-01-18
http://rs.tdwg.org/dwc/version/terms/2009-01-23,http://rs.tdwg.org/dwc/terms/version/SamplingLocation-2008-11-19
http://rs.tdwg.org/dwc/version/terms/2009-01-23,http://rs.tdwg.org/dwc/terms/version/SamplingLocationID-2008-11-19
http://rs.tdwg.org/dwc/version/terms/2009-01-23,http://rs.tdwg.org/dwc/terms/version/SamplingLocationRemarks-2009-01-18
http://rs.tdwg.org/dwc/version/terms/2009-01-23,http://rs.tdwg.org/dwc/terms/version/StartTimeOfDay-2008-11-19
http://rs.tdwg.org/dwc/version/terms/2009-01-23,http://rs.tdwg.org/dwc/terms/version/Taxon-2008-11-19
http://rs.tdwg.org/dwc/version/terms/2009-01-23,http://rs.tdwg.org/dwc/terms/version/TaxonID-2008-11-19
http://rs.tdwg.org/dwc/version/terms/2009-01-23,http://rs.tdwg.org/dwc/terms/version/accordingTo-2009-01-21
http://rs.tdwg.org/dwc/version/terms/2009-01-23,http://rs.tdwg.org/dwc/terms/version/accuracy-2009-01-21
http://rs.tdwg.org/dwc/version/terms/2009-01-23,http://rs.tdwg.org/dwc/terms/version/binomial-2008-11-19
http://rs.tdwg.org/dwc/version/terms/2009-04-24,http://rs.tdwg.org/dwc/terms/version/Identification-2008-11-19
http://rs.tdwg.org/dwc/version/terms/2009-04-24,http://rs.tdwg.org/dwc/terms/version/MeasurementOrFact-2009-04-24
http://rs.tdwg.org/dwc/version/terms/2009-04-24,http://rs.tdwg.org/dwc/terms/version/ResourceRelationship-2009-01-21
http://rs.tdwg.org/dwc/version/terms/2009-04-24,http://rs.tdwg.org/dwc/terms/version/Sample-2008-11-19
http://rs.tdwg.org/dwc/version/terms/2009-04-24,http://rs.tdwg.org/dwc/terms/version/SamplingEvent-2008-11-19
http://rs.tdwg.org/dwc/version/terms/2009-04-24,http://rs.tdwg.org/dwc/terms/version/Taxon-2008-11-19
http://rs.tdwg.org/dwc/version/terms/2009-04-24,http://rs.tdwg.org/dwc/terms/version/acceptedTaxonName-2009-04-24
http://rs.tdwg.org/dwc/version/terms/2009-04-24,http://rs.tdwg.org/dwc/terms/version/acceptedTaxonNameID-2009-04-24
http://rs.tdwg.org/dwc/version/terms/2009-04-24,http://rs.tdwg.org/dwc/terms/version/accordingTo-2009-01-21
http://rs.tdwg.org/dwc/version/terms/2009-04-24,http://rs.tdwg.org/dwc/terms/version/associatedMedia-2009-04-24
http://rs.tdwg.org/dwc/version/terms/2009-04-24,http://rs.tdwg.org/dwc/terms/version/associatedOccurrences-2009-04-24
http://rs.tdwg.org/dwc/version/terms/2009-04-24,http://rs.tdwg.org/dwc/terms/version/associatedReferences-2009-04-24
http://rs.tdwg.org/dwc/version/terms/2009-04-24,http://rs.tdwg.org/dwc/terms/version/associatedSequences-2009-04-24
http://rs.tdwg.org/dwc/version/terms/2009-04-24,http://rs.tdwg.org/dwc/terms/version/associatedTaxa-2009-04-24
http://rs.tdwg.org/dwc/version/terms/2009-04-24,http://rs.tdwg.org/dwc/terms/version/basionym-2009-04-24
http://rs.tdwg.org/dwc/version/terms/2009-04-24,http://rs.tdwg.org/dwc/terms/version/basionymID-2009-04-24
http://rs.tdwg.org/dwc/version/terms/2009-04-24,http://rs.tdwg.org/dwc/terms/version/basisOfRecord-2009-04-24
http://rs.tdwg.org/dwc/version/terms/2009-04-24,http://rs.tdwg.org/dwc/terms/version/bed-2009-04-24
http://rs.tdwg.org/dwc/version/terms/2009-04-24,http://rs.tdwg.org/dwc/terms/version/behavior-2009-04-24
http://rs.tdwg.org/dwc/version/terms/2009-04-24,http://rs.tdwg.org/dwc/terms/version/catalogNumber-2009-04-24
http://rs.tdwg.org/dwc/version/terms/2009-04-24,http://rs.tdwg.org/dwc/terms/version/class-2009-04-24
http://rs.tdwg.org/dwc/version/terms/2009-04-24,http://rs.tdwg.org/dwc/terms/version/collectionCode-2009-04-24
http://rs.tdwg.org/dwc/version/terms/2009-04-24,http://rs.tdwg.org/dwc/terms/version/collectionID-2009-04-24
http://rs.tdwg.org/dwc/version/terms/2009-04-24,http://rs.tdwg.org/dwc/terms/version/continent-2009-04-24
http://rs.tdwg.org/dwc/version/terms/2009-04-24,http://rs.tdwg.org/dwc/terms/version/coordinatePrecision-2009-04-24
http://rs.tdwg.org/dwc/version/terms/2009-04-24,http://rs.tdwg.org/dwc/terms/version/coordinateUncertaintyInMeters-2009-04-24
http://rs.tdwg.org/dwc/version/terms/2009-04-24,http://rs.tdwg.org/dwc/terms/version/country-2009-04-24
http://rs.tdwg.org/dwc/version/terms/2009-04-24,http://rs.tdwg.org/dwc/terms/version/countryCode-2009-04-24
http://rs.tdwg.org/dwc/version/terms/2009-04-24,http://rs.tdwg.org/dwc/terms/version/county-2009-04-24
http://rs.tdwg.org/dwc/version/terms/2009-04-24,http://rs.tdwg.org/dwc/terms/version/dataGeneralizations-2009-04-24
http://rs.tdwg.org/dwc/version/terms/2009-04-24,http://rs.tdwg.org/dwc/terms/version/datasetID-2009-04-24
http://rs.tdwg.org/dwc/version/terms/2009-04-24,http://rs.tdwg.org/dwc/terms/version/dateIdentified-2009-04-24
http://rs.tdwg.org/dwc/version/terms/2009-04-24,http://rs.tdwg.org/dwc/terms/version/day-2009-04-24
http://rs.tdwg.org/dwc/version/terms/2009-04-24,http://rs.tdwg.org/dwc/terms/version/decimalLatitude-2009-04-24
http://rs.tdwg.org/dwc/version/terms/2009-04-24,http://rs.tdwg.org/dwc/terms/version/decimalLongitude-2009-04-24
http://rs.tdwg.org/dwc/version/terms/2009-04-24,http://rs.tdwg.org/dwc/terms/version/disposition-2009-04-24
http://rs.tdwg.org/dwc/version/terms/2009-04-24,http://rs.tdwg.org/dwc/terms/version/dynamicProperties-2009-04-24
http://rs.tdwg.org/dwc/version/terms/2009-04-24,http://rs.tdwg.org/dwc/terms/version/earliestAgeOrLowestStage-2009-04-24
http://rs.tdwg.org/dwc/version/terms/2009-04-24,http://rs.tdwg.org/dwc/terms/version/earliestEonOrLowestEonothem-2009-04-24
