rdf_type,replacing_term,replacing_term_localName,replacing_term_namespace,replaced_term,replaced_term_namespace,replaced_term_localName
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/dwcore/Locality,Locality,http://rs.tdwg.org/dwc/dwcore/,http://digir.net/schema/conceptual/darwin/2003/1.0/Locality,http://digir.net/schema/conceptual/darwin/2003/1.0/,Locality
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://digir.net/schema/conceptual/darwin/2003/1.0/DecimalLongitude,DecimalLongitude,http://digir.net/schema/conceptual/darwin/2003/1.0/,http://digir.net/schema/conceptual/darwin/2003/1.0/Longitude,http://digir.net/schema/conceptual/darwin/2003/1.0/,Longitude
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://digir.net/schema/conceptual/darwin/2003/1.0/MaximumDepthInMeters,MaximumDepthInMeters,http://digir.net/schema/conceptual/darwin/2003/1.0/,http://digir.net/schema/conceptual/darwin/2003/1.0/MaximumDepth,http://digir.net/schema/conceptual/darwin/2003/1.0/,MaximumDepth
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/dwcore/MaximumDepthInMeters,MaximumDepthInMeters,http://rs.tdwg.org/dwc/dwcore/,http://digir.net/schema/conceptual/darwin/2003/1.0/MaximumDepthInMeters,http://digir.net/schema/conceptual/darwin/2003/1.0/,MaximumDepthInMeters
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://digir.net/schema/conceptual/darwin/2003/1.0/MaximumElevationInMeters,MaximumElevationInMeters,http://digir.net/schema/conceptual/darwin/2003/1.0/,http://digir.net/schema/conceptual/darwin/2003/1.0/MaximumElevation,http://digir.net/schema/conceptual/darwin/2003/1.0/,MaximumElevation
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/dwcore/MaximumElevationInMeters,MaximumElevationInMeters,http://rs.tdwg.org/dwc/dwcore/,http://digir.net/schema/conceptual/darwin/2003/1.0/MaximumElevationInMeters,http://digir.net/schema/conceptual/darwin/2003/1.0/,MaximumElevationInMeters
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://digir.net/schema/conceptual/darwin/2003/1.0/MinimumDepthInMeters,MinimumDepthInMeters,http://digir.net/schema/conceptual/darwin/2003/1.0/,http://digir.net/schema/conceptual/darwin/2003/1.0/MinimumDepth,http://digir.net/schema/conceptual/darwin/2003/1.0/,MinimumDepth
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/dwcore/MinimumDepthInMeters,MinimumDepthInMeters,http://rs.tdwg.org/dwc/dwcore/,http://digir.net/schema/conceptual/darwin/2003/1.0/MinimumDepthInMeters,http://digir.net/schema/conceptual/darwin/2003/1.0/,MinimumDepthInMeters
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://digir.net/schema/conceptual/darwin/2003/1.0/MinimumElevationInMeters,MinimumElevationInMeters,http://digir.net/schema/conceptual/darwin/2003/1.0/,http://digir.net/schema/conceptual/darwin/2003/1.0/MinimumElevation,http://digir.net/schema/conceptual/darwin/2003/1.0/,MinimumElevation
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/dwcore/MinimumElevationInMeters,MinimumElevationInMeters,http://rs.tdwg.org/dwc/dwcore/,http://digir.net/schema/conceptual/darwin/2003/1.0/MinimumElevationInMeters,http://digir.net/schema/conceptual/darwin/2003/1.0/,MinimumElevationInMeters
