"identifier","context","text"
"hasEcologicalContext:label","Label for Has Ecological Context http://rs.tdwg.org/dwc/terms/hasEcologicalContext",""
"hasEcologicalContext:definition","Definition for Has Ecological Context http://rs.tdwg.org/dwc/terms/hasEcologicalContext",""
"hasGeographicContext:label","Label for Has Geographic Context http://rs.tdwg.org/dwc/terms/hasGeographicContext",""
"hasGeographicContext:definition","Definition for Has Geographic Context http://rs.tdwg.org/dwc/terms/hasGeographicContext",""
"hasIdentifier:label","Label for Has Identifier http://rs.tdwg.org/dwc/terms/hasIdentifier",""
"hasIdentifier:definition","Definition for Has Identifier http://rs.tdwg.org/dwc/terms/hasIdentifier",""
"hasMeasurementOrFact:label","Label for Has Measurement Or Fact http://rs.tdwg.org/dwc/terms/hasMeasurementOrFact",""
"hasMeasurementOrFact:definition","Definition for Has Measurement Or Fact http://rs.tdwg.org/dwc/terms/hasMeasurementOrFact",""
"hasParentEvent:label","Label for Has Parent Event http://rs.tdwg.org/dwc/terms/hasParentEvent",""
"hasParentEvent:definition","Definition for Has Parent Event http://rs.tdwg.org/dwc/terms/hasParentEvent",""
"hasParentEvent:usage","Usage for Has Parent Event http://rs.tdwg.org/dwc/terms/hasParentEvent",""
"hasPersonRole:label","Label for Has Person Role http://rs.tdwg.org/dwc/terms/hasPersonRole",""
"hasPersonRole:definition","Definition for Has Person Role http://rs.tdwg.org/dwc/terms/hasPersonRole",""
"hasReference:label","Label for Has Reference http://rs.tdwg.org/dwc/terms/hasReference",""
"hasReference:definition","Definition for Has Reference http://rs.tdwg.org/dwc/terms/hasReference",""
"hasTemporalCoverage:label","Label for Has Temporal Coverage http://rs.tdwg.org/dwc/terms/hasTemporalCoverage",""
"hasTemporalCoverage:definition","Definition for Has Temporal Coverage http://rs.tdwg.org/dwc/terms/hasTemporalCoverage",""
"hasIdentifier:label","Label for Has Identifier http://rs.tdwg.org/dwc/terms/hasIdentifier",""
"hasIdentifier:definition","Definition for Has Identifier http://rs.tdwg.org/dwc/terms/hasIdentifier",""
"hasMeasurementOrFact:label","Label for Has Measurement Or Fact http://rs.tdwg.org/dwc/terms/hasMeasurementOrFact",""
"hasMeasurementOrFact:definition","Definition for Has Measurement Or Fact http://rs.tdwg.org/dwc/terms/hasMeasurementOrFact",""
"hasReference:label","Label for Has Reference http://rs.tdwg.org/dwc/terms/hasReference",""
"hasReference:definition","Definition for Has Reference http://rs.tdwg.org/dwc/terms/hasReference",""
"region:label","Label for Region http://rs.tdwg.org/dwc/terms/region",""
"region:examples","Examples for Region http://rs.tdwg.org/dwc/terms/region",""
"region:definition","Definition for Region http://rs.tdwg.org/dwc/terms/region",""
"region:notes","Notes for Region http://rs.tdwg.org/dwc/terms/region",""
"waterBodyType:label","Label for Waterbody Type http://rs.tdwg.org/dwc/terms/waterBodyType",""
"waterBodyType:definition","Definition for Waterbody Type http://rs.tdwg.org/dwc/terms/waterBodyType",""
"waterBodyType:notes","Notes for Waterbody Type http://rs.tdwg.org/dwc/terms/waterBodyType",""
"hasIdentifier:label","Label for Has Identifier http://rs.tdwg.org/dwc/terms/hasIdentifier",""
"hasIdentifier:definition","Definition for Has Identifier http://rs.tdwg.org/dwc/terms/hasIdentifier",""
"hasMeasurementOrFact:label","Label for Has Measurement Or Fact http://rs.tdwg.org/dwc/terms/hasMeasurementOrFact",""
"hasMeasurementOrFact:definition","Definition for Has Measurement Or Fact http://rs.tdwg.org/dwc/terms/hasMeasurementOrFact",""
"hasReference:label","Label for Has Reference http://rs.tdwg.org/dwc/terms/hasReference",""
"hasReference:definition","Definition for Has Reference http://rs.tdwg.org/dwc/terms/hasReference",""
"supergroup:label","Label for Supergroup http://rs.tdwg.org/dwc/terms/supergroup",""
"supergroup:definition","Definition for Supergroup http://rs.tdwg.org/dwc/terms/supergroup",""
"supergroup:usage","Usage for Supergroup http://rs.tdwg.org/dwc/terms/supergroup",""
"supergroup:notes","Notes for Supergroup http://rs.tdwg.org/dwc/terms/supergroup",""
"hasReference:label","Label for Has Reference http://rs.tdwg.org/dwc/terms/hasReference",""
"hasReference:definition","Definition for Has Reference http://rs.tdwg.org/dwc/terms/hasReference",""
"identifierSource:label","Label for Identifier Source http://rs.tdwg.org/dwc/terms/identifierSource",""
"identifierSource:definition","Definition for Identifier Source http://rs.tdwg.org/dwc/terms/identifierSource",""
"identifierSource:notes","Notes for Identifier Source http://rs.tdwg.org/dwc/terms/identifierSource",""
"identifierType:label","Label for Identifier Type http://rs.tdwg.org/dwc/terms/identifierType",""
"identifierType:definition","Definition for Identifier Type http://rs.tdwg.org/dwc/terms/identifierType",""
"identifierType:notes","Notes for Identifier Type http://rs.tdwg.org/dwc/terms/identifierType",""
"identifierValue:label","Label for Identifier http://rs.tdwg.org/dwc/terms/identifierValue",""
"identifierValue:definition","Definition for Identifier http://rs.tdwg.org/dwc/terms/identifierValue",""
