"identifier","context","text"
"Role:notes","Notes for Role http://rs.tdwg.org/dwc/terms/Role","Bien que cette classe ne contienne pas de propriétés requises, il est recommandé d'utiliser au moins l'une des propriétés roleName et hasIdentifier pour spécifier le rôle prévu. Le cas échéant, l'utilisation de vocabulaires contrôlés tels que la taxonomie des rôles des contributeurs du CRediT (https://credit.niso.org) est encouragée."
"SchemeMeasurementOrFact:label","Label for Scheme Measurement Or Fact http://rs.tdwg.org/dwc/terms/SchemeMeasurementOrFact",""
"SchemeMeasurementOrFact:definition","Definition for Scheme Measurement Or Fact http://rs.tdwg.org/dwc/terms/SchemeMeasurementOrFact","Un type de mesure ou de fait utilisé par le LatimerCoreScheme, et les règles relatives à son application."
"SchemeMeasurementOrFact:notes","Notes for Scheme Measurement Or Fact http://rs.tdwg.org/dwc/terms/SchemeMeasurementOrFact","Cette classe peut être utilisée pour préciser les mesures qualitatives et quantitatives qui seront incluses dans le LatimerCoreScheme à l'aide de la classe MeasurementOrFact, et indiquer si chacune d'entre elles sera obligatoire et/ou répétable. Ces informations peuvent être utilisées par les logiciels et les requêtes pour contraindre et valider l'ensemble de données Latimer Core, et déterminer si et comment les métriques peuvent être agrégées et rapportées. La propriété schemeMeasurementType doit correspondre à la propriété measurementType de la classe MeasurementOrFact afin d'établir une association pertinente entre la définition du schéma et les données stockées."
"SchemeTerm:label","Label for Scheme Term http://rs.tdwg.org/dwc/terms/SchemeTerm",""
"SchemeTerm:definition","Definition for Scheme Term http://rs.tdwg.org/dwc/terms/SchemeTerm","Un terme du Latimer Core utilisé par le LatimerCoreScheme et les règles relatives à son application."
"SchemeTerm:notes","Notes for Scheme Term http://rs.tdwg.org/dwc/terms/SchemeTerm","Cette classe peut être utilisée pour définir les termes (classes et/ou propriétés) du standard (par exemple GeographicContext, Taxon, preservationMethod) qui doivent être utilisés dans le schéma, et préciser s'ils sont obligatoires et/ou répétables. Ces informations peuvent être utilisées par les logiciels et les requêtes pour valider les données et comprendre les règles selon lesquelles les mesures peuvent être rapportées au terme spécifié."
"StorageLocation:label","Label for Storage Location http://rs.tdwg.org/dwc/terms/StorageLocation","Lieu de stockage"
"StorageLocation:definition","Definition for Storage Location http://rs.tdwg.org/dwc/terms/StorageLocation","Emplacement physique (tel qu'un bâtiment, une pièce, une armoire ou un tiroir) au sein de l'institution détentrice où les objets associés à la description de la collection sont stockés ou exposés."
"Taxon:label","Label for Taxon http://rs.tdwg.org/dwc/terms/Taxon","Taxon"
"Taxon:definition","Definition for Taxon http://rs.tdwg.org/dwc/terms/Taxon","Groupe d'organismes (sensu http://purl.obolibrary.org/obo/OBI_0100026) considérés par les taxonomistes comme formant une unité homogène."
"TemporalCoverage:label","Label for Temporal Coverage http://rs.tdwg.org/dwc/terms/TemporalCoverage","Couverture Temporelle"
"TemporalCoverage:definition","Definition for Temporal Coverage http://rs.tdwg.org/dwc/terms/TemporalCoverage","Période au cours de laquelle l'événement, l'activité ou le statut en question s'est produit."
"TemporalCoverage:usage","Usage for Temporal Coverage http://rs.tdwg.org/dwc/terms/TemporalCoverage","Pour représenter une période de temps continue, temporalCoverageStartDateTime doit être renseigné et temporalCoverageEndDateTime laissé vide. Pour représenter une période ponctuelle, temporalCoverageStartDateTime et temporalCoverageEndDateTime doivent avoir la même valeur."
"TemporalCoverage:notes","Notes for Temporal Coverage http://rs.tdwg.org/dwc/terms/TemporalCoverage","Cette classe peut être utilisée pour refléter la période de temps au cours de laquelle des activités, des événements et des états spécifiques se sont produits. Les exemples peuvent inclure l'intervalle de temps de l'`Event` au cours duquel les objets ont été collectés, la période durant un `CollectionStatusHistory` au cours de laquelle la collection s'est activement développée, ou la période durant laquelle une personne a travaillé dans un `PersonRole` particulier. Si la période que vous essayez de décrire est mieux appréhendée par un label catégorique que par une date, `GeologicalContext`, `ChronometricAge` ou `ObjectGroup.period` peuvent être plus adaptés. "
"addressType:label","Label for Address Type http://rs.tdwg.org/dwc/terms/addressType","Type d'Adresse"
"addressType:definition","Definition for Address Type http://rs.tdwg.org/dwc/terms/addressType","Une personne ou une organisation peut avoir plusieurs adresses, à des fins différentes. Par exemple, une adresse postale, une adresse de prêt, une adresse pour les visites, etc. Cette propriété est utilisée pour spécifier le type d'adresse."
"hasIdentifier:label","Label for Has Identifier http://rs.tdwg.org/dwc/terms/hasIdentifier","A pour Identifiant"
"hasIdentifier:definition","Definition for Has Identifier http://rs.tdwg.org/dwc/terms/hasIdentifier","Cette propriété fait référence à une ou plusieurs instances associées de la classe Identifier."
"hasIdentifier:label","Label for Has Identifier http://rs.tdwg.org/dwc/terms/hasIdentifier","A pour Identifiant"
"hasIdentifier:definition","Definition for Has Identifier http://rs.tdwg.org/dwc/terms/hasIdentifier","Cette propriété fait référence à une ou plusieurs instances associées de la classe Identifier."
"hasMeasurementOrFact:label","Label for Has Measurement Or Fact http://rs.tdwg.org/dwc/terms/hasMeasurementOrFact","A pour Mesure ou Fait"
"hasMeasurementOrFact:definition","Definition for Has Measurement Or Fact http://rs.tdwg.org/dwc/terms/hasMeasurementOrFact","Cette propriété fait référence à une ou plusieurs instances associées de la classe MeasurementOrFact."
"hasReference:label","Label for Has Reference http://rs.tdwg.org/dwc/terms/hasReference","A pour Référence"
"hasReference:definition","Definition for Has Reference http://rs.tdwg.org/dwc/terms/hasReference","Cette propriété fait référence à une ou plusieurs instances associées de la classe Reference."
"hasIdentifier:label","Label for Has Identifier http://rs.tdwg.org/dwc/terms/hasIdentifier","A pour Identifiant"
"hasIdentifier:definition","Definition for Has Identifier http://rs.tdwg.org/dwc/terms/hasIdentifier","Cette propriété fait référence à une ou plusieurs instances associées de la classe Identifier."
