identifier,context,text
SchemeMeasurementOrFact:http~//rs.tdwg.org/dwc/terms/attributes/SchemeMeasurementOrFact:notes,Notes for Scheme Measurement Or Fact (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/SchemeMeasurementOrFact) http://rs.tdwg.org/dwc/terms/SchemeMeasurementOrFact,"This class can be used to specify the qualitative and quantitative metrics that will be included in the LatimerCoreScheme using the MeasurementOrFact class, and dictate whether each will be mandatory and/or repeatable. This information can be used by software and queries to constrain and validate the Latimer Core dataset, and determine how and whether metrics can be aggregated and reported. The schemeMeasurementType property should correspond to the measurementType property of the MeasurementOrFact class in order to make the relevant association between the scheme definition and the stored data."
SchemeTerm:http~//rs.tdwg.org/dwc/terms/attributes/SchemeTerm:label,Label for Scheme Term (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/SchemeTerm) http://rs.tdwg.org/dwc/terms/SchemeTerm,Scheme Term
SchemeTerm:http~//rs.tdwg.org/dwc/terms/attributes/SchemeTerm:definition,Definition for Scheme Term (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/SchemeTerm) http://rs.tdwg.org/dwc/terms/SchemeTerm,A Latimer Core term used by the LatimerCoreScheme and the rules relating to its application.
SchemeTerm:http~//rs.tdwg.org/dwc/terms/attributes/SchemeTerm:notes,Notes for Scheme Term (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/SchemeTerm) http://rs.tdwg.org/dwc/terms/SchemeTerm,"This class can be used to define which of the terms (classes and/or properties) within the standard (e.g. GeographicContext, Taxon, preservationMethod) are expected to be used within the scheme, and specify whether they're mandatory and/or repeatable. This information can be used by software and queries to validate the data and understand the rules by which metrics can be reported against the specified term."
StorageLocation:http~//rs.tdwg.org/dwc/terms/attributes/StorageLocation:label,Label for Storage Location (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/StorageLocation) http://rs.tdwg.org/dwc/terms/StorageLocation,Storage Location
StorageLocation:http~//rs.tdwg.org/dwc/terms/attributes/StorageLocation:definition,Definition for Storage Location (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/StorageLocation) http://rs.tdwg.org/dwc/terms/StorageLocation,"A physical location (such as a building, room, cabinet or drawer) within the holding institution where objects associated with the collection description are stored or exhibited."
Taxon:http~//rs.tdwg.org/dwc/terms/attributes/Taxon:label,Label for Taxon (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/Taxon) http://rs.tdwg.org/dwc/terms/Taxon,Taxon
Taxon:http~//rs.tdwg.org/dwc/terms/attributes/Taxon:definition,Definition for Taxon (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/Taxon) http://rs.tdwg.org/dwc/terms/Taxon,A group of organisms (sensu http://purl.obolibrary.org/obo/OBI_0100026) considered by taxonomists to form a homogeneous unit.
TemporalCoverage:http~//rs.tdwg.org/dwc/terms/attributes/TemporalCoverage:label,Label for Temporal Coverage (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/TemporalCoverage) http://rs.tdwg.org/dwc/terms/TemporalCoverage,Temporal Coverage
TemporalCoverage:http~//rs.tdwg.org/dwc/terms/attributes/TemporalCoverage:definition,Definition for Temporal Coverage (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/TemporalCoverage) http://rs.tdwg.org/dwc/terms/TemporalCoverage,"The time period during which the related event, activity or status was occurring."
