"identifier","context","text"
"RegionOfInterest:rdfs_comment","Comment for Region of Interest Class http://rs.tdwg.org/dwc/terms/RegionOfInterest",""
"RegionOfInterest:dcterms_description","Description for Region of Interest Class http://rs.tdwg.org/dwc/terms/RegionOfInterest",""
"hasROI:label","Label for Has Region of Interest http://rs.tdwg.org/dwc/terms/hasROI",""
"hasROI:rdfs_comment","Comment for Has Region of Interest http://rs.tdwg.org/dwc/terms/hasROI",""
"hasROI:dcterms_description","Description for Has Region of Interest http://rs.tdwg.org/dwc/terms/hasROI",""
"hasROI:skos_scopeNote","Usage for Has Region of Interest http://rs.tdwg.org/dwc/terms/hasROI",""
"isROIOf:label","Label for Is Region of Interest of http://rs.tdwg.org/dwc/terms/isROIOf",""
"isROIOf:rdfs_comment","Comment for Is Region of Interest of http://rs.tdwg.org/dwc/terms/isROIOf",""
"isROIOf:dcterms_description","Description for Is Region of Interest of http://rs.tdwg.org/dwc/terms/isROIOf",""
"isROIOf:skos_scopeNote","Usage for Is Region of Interest of http://rs.tdwg.org/dwc/terms/isROIOf",""
"xFrac:label","Label for Fractional X http://rs.tdwg.org/dwc/terms/xFrac",""
"xFrac:rdfs_comment","Comment for Fractional X http://rs.tdwg.org/dwc/terms/xFrac",""
"xFrac:dcterms_description","Description for Fractional X http://rs.tdwg.org/dwc/terms/xFrac",""
"xFrac:skos_scopeNote","Usage for Fractional X http://rs.tdwg.org/dwc/terms/xFrac",""
"yFrac:label","Label for Fractional Y http://rs.tdwg.org/dwc/terms/yFrac",""
"yFrac:rdfs_comment","Comment for Fractional Y http://rs.tdwg.org/dwc/terms/yFrac",""
"yFrac:dcterms_description","Description for Fractional Y http://rs.tdwg.org/dwc/terms/yFrac",""
"yFrac:skos_scopeNote","Usage for Fractional Y http://rs.tdwg.org/dwc/terms/yFrac",""
"widthFrac:label","Label for Fractional Width http://rs.tdwg.org/dwc/terms/widthFrac",""
"widthFrac:rdfs_comment","Comment for Fractional Width http://rs.tdwg.org/dwc/terms/widthFrac",""
"widthFrac:dcterms_description","Description for Fractional Width http://rs.tdwg.org/dwc/terms/widthFrac",""
"widthFrac:skos_scopeNote","Usage for Fractional Width http://rs.tdwg.org/dwc/terms/widthFrac",""
"heightFrac:label","Label for Fractional Height http://rs.tdwg.org/dwc/terms/heightFrac",""
"heightFrac:rdfs_comment","Comment for Fractional Height http://rs.tdwg.org/dwc/terms/heightFrac",""
"heightFrac:dcterms_description","Description for Fractional Height http://rs.tdwg.org/dwc/terms/heightFrac",""
"heightFrac:skos_scopeNote","Usage for Fractional Height http://rs.tdwg.org/dwc/terms/heightFrac",""
"radius:label","Label for Radius http://rs.tdwg.org/dwc/terms/radius",""
