documentTitle,current_iri,version_iri,mediaType,version_issued,publisher,license_statement,license_uri,citation,creator,comment,accessUrl,browserRedirectUri,dcterms_isPartOf,abstract
Index Herbariorum. Part I: The Herbaria of the World,http://rs.tdwg.org/ih/doc/book/,http://rs.tdwg.org/ih/doc/book/1990,print,1990,,,,,,Online database at http://sweetgum.nybg.org/science/ih/,urn:isbn:0893273589,,http://www.tdwg.org/standards/105,"Index Herbariorum is a guide to the world's herbaria.  The Index Herbariorum (IH) entry for an herbarium includes its physical location, URL, contents (e.g., number and type of specimens), founding date, as well as names, contact information and areas of expertise of associated staff. Only those collections that are permanent scientific repositories are included in IH. "
The International Transfer Format (ITF) for Botanic Garden Plant Records (Version 1),http://rs.tdwg.org/itfbgpr/doc/specification/,http://rs.tdwg.org/itfbgpr/doc/specification/1987-09-15,application/pdf,1987-09-15,,,,,,,https://ia800302.us.archive.org/33/items/internationaltra87syng/internationaltra87syng_bw.pdf,,http://www.tdwg.org/standards/102,"The International Transfer Format (ITF) is a set of standards for exchanging computerised data on a given topic, in this case the records of plants growing in Botanic Gardens. It consists of a set of definitions for the fields within each record. "
The International Transfer Format (ITF) for Botanic Garden Plant Records (Version 2),http://rs.tdwg.org/itfbgpr/doc/specification/,http://rs.tdwg.org/itfbgpr/doc/specification/1998,application/pdf,1998,,,,,,,http://www.bgci.org/files/Databases/itf2.pdf,,http://www.tdwg.org/standards/102,This document contains a complete description of version 2 of the International Transfer Format for Botanic Garden Records. It includes all the information which institutions will need when making use of the ITF2 to send or receive plant records in the ITF2 format. The annexes to this manual describe some of the problem areas which needed to be addressed during the definition of ITF2. 
Floristic Regions of the World,http://rs.tdwg.org/frw/doc/book/,http://rs.tdwg.org/frw/doc/book/1986,print,1986,,,,,,Only seems to be available in print,urn:isbn:0520040279,,http://www.tdwg.org/standards/104,"This book describes the floristic divisions for the whole world, lists endemic families and genera, and provides examples of endemic species for each province."
"Taxonomic Literature : A Selective Guide to Botanical Publications and Collections with Dates, Commentaries and Types (vol. 1)",http://rs.tdwg.org/tl/doc/v1/,http://rs.tdwg.org/tl/doc/v1/1988,text/html,1988,,,,,,See http://www.sil.si.edu/DigitalCollections/tl-2/history.cfm for introduction.,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=1#page/11,,http://www.tdwg.org/standards/111,"Authors A-G. Taxonomic Literature: a selective guide to botanical publications and collections with dates, commentaries and types, also known as TL-2, is an indispensable and essential resource that supports the research of systematic botanists and zoologists. In addition, TL-2 is an important reference tool in the science information field for librarians and information professionals working in Botany and other life sciences. Its coverage is international providing bibliographic analyses of works in many languages including English, French, German, and Latin. Overall, TL-2 provides the most comprehensive bibliographical and biographical coverage for systematic botany literature published between 1753 and 1940."
"Taxonomic Literature : A Selective Guide to Botanical Publications and Collections with Dates, Commentaries and Types (vol. 2)",http://rs.tdwg.org/tl/doc/v2/,http://rs.tdwg.org/tl/doc/v2/1988,text/html,1988,,,,,,See http://www.sil.si.edu/DigitalCollections/tl-2/history.cfm for introduction.,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=2#page/11,,http://www.tdwg.org/standards/111,"Authors H-Le. Taxonomic Literature: a selective guide to botanical publications and collections with dates, commentaries and types, also known as TL-2, is an indispensable and essential resource that supports the research of systematic botanists and zoologists. In addition, TL-2 is an important reference tool in the science information field for librarians and information professionals working in Botany and other life sciences. Its coverage is international providing bibliographic analyses of works in many languages including English, French, German, and Latin. Overall, TL-2 provides the most comprehensive bibliographical and biographical coverage for systematic botany literature published between 1753 and 1940."
"Taxonomic Literature : A Selective Guide to Botanical Publications and Collections with Dates, Commentaries and Types (vol. 3)",http://rs.tdwg.org/tl/doc/v3/,http://rs.tdwg.org/tl/doc/v3/1988,text/html,1988,,,,,,See http://www.sil.si.edu/DigitalCollections/tl-2/history.cfm for introduction.,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=3#page/7,,http://www.tdwg.org/standards/111,"Authors Lh-O. Taxonomic Literature: a selective guide to botanical publications and collections with dates, commentaries and types, also known as TL-2, is an indispensable and essential resource that supports the research of systematic botanists and zoologists. In addition, TL-2 is an important reference tool in the science information field for librarians and information professionals working in Botany and other life sciences. Its coverage is international providing bibliographic analyses of works in many languages including English, French, German, and Latin. Overall, TL-2 provides the most comprehensive bibliographical and biographical coverage for systematic botany literature published between 1753 and 1940."
"Taxonomic Literature : A Selective Guide to Botanical Publications and Collections with Dates, Commentaries and Types (vol. 4)",http://rs.tdwg.org/tl/doc/v4/,http://rs.tdwg.org/tl/doc/v4/1988,text/html,1988,,,,,,See http://www.sil.si.edu/DigitalCollections/tl-2/history.cfm for introduction.,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=4#page/7,,http://www.tdwg.org/standards/111,"Authors P-Sak. Taxonomic Literature: a selective guide to botanical publications and collections with dates, commentaries and types, also known as TL-2, is an indispensable and essential resource that supports the research of systematic botanists and zoologists. In addition, TL-2 is an important reference tool in the science information field for librarians and information professionals working in Botany and other life sciences. Its coverage is international providing bibliographic analyses of works in many languages including English, French, German, and Latin. Overall, TL-2 provides the most comprehensive bibliographical and biographical coverage for systematic botany literature published between 1753 and 1940."
"Taxonomic Literature : A Selective Guide to Botanical Publications and Collections with Dates, Commentaries and Types (vol. 5)",http://rs.tdwg.org/tl/doc/v5/,http://rs.tdwg.org/tl/doc/v5/1988,text/html,1988,,,,,,See http://www.sil.si.edu/DigitalCollections/tl-2/history.cfm for introduction.,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=5#page/11,,http://www.tdwg.org/standards/111,"Authors Sal-Ste. Taxonomic Literature: a selective guide to botanical publications and collections with dates, commentaries and types, also known as TL-2, is an indispensable and essential resource that supports the research of systematic botanists and zoologists. In addition, TL-2 is an important reference tool in the science information field for librarians and information professionals working in Botany and other life sciences. Its coverage is international providing bibliographic analyses of works in many languages including English, French, German, and Latin. Overall, TL-2 provides the most comprehensive bibliographical and biographical coverage for systematic botany literature published between 1753 and 1940."
"Taxonomic Literature : A Selective Guide to Botanical Publications and Collections with Dates, Commentaries and Types (vol. 6)",http://rs.tdwg.org/tl/doc/v6/,http://rs.tdwg.org/tl/doc/v6/1988,text/html,1988,,,,,,See http://www.sil.si.edu/DigitalCollections/tl-2/history.cfm for introduction.,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=6#page/7,,http://www.tdwg.org/standards/111,"Authors Sti-Vuy. Taxonomic Literature: a selective guide to botanical publications and collections with dates, commentaries and types, also known as TL-2, is an indispensable and essential resource that supports the research of systematic botanists and zoologists. In addition, TL-2 is an important reference tool in the science information field for librarians and information professionals working in Botany and other life sciences. Its coverage is international providing bibliographic analyses of works in many languages including English, French, German, and Latin. Overall, TL-2 provides the most comprehensive bibliographical and biographical coverage for systematic botany literature published between 1753 and 1940."
"Taxonomic Literature : A Selective Guide to Botanical Publications and Collections with Dates, Commentaries and Types (vol. 7)",http://rs.tdwg.org/tl/doc/v7/,http://rs.tdwg.org/tl/doc/v7/1988,text/html,1988,,,,,,See http://www.sil.si.edu/DigitalCollections/tl-2/history.cfm for introduction.,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=7#page/7,,http://www.tdwg.org/standards/111,"Authors W-Z. Taxonomic Literature: a selective guide to botanical publications and collections with dates, commentaries and types, also known as TL-2, is an indispensable and essential resource that supports the research of systematic botanists and zoologists. In addition, TL-2 is an important reference tool in the science information field for librarians and information professionals working in Botany and other life sciences. Its coverage is international providing bibliographic analyses of works in many languages including English, French, German, and Latin. Overall, TL-2 provides the most comprehensive bibliographical and biographical coverage for systematic botany literature published between 1753 and 1940."
"Taxonomic Literature : A Selective Guide to Botanical Publications and Collections with Dates, Commentaries and Types (supp. 1)",http://rs.tdwg.org/tl/doc/s1/,http://rs.tdwg.org/tl/doc/s1/1988,text/html,1988,,,,,,See http://www.sil.si.edu/DigitalCollections/tl-2/history.cfm for introduction.,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=8#page/7,,http://www.tdwg.org/standards/111,"Authors A-Ba. Taxonomic Literature: a selective guide to botanical publications and collections with dates, commentaries and types, also known as TL-2, is an indispensable and essential resource that supports the research of systematic botanists and zoologists. In addition, TL-2 is an important reference tool in the science information field for librarians and information professionals working in Botany and other life sciences. Its coverage is international providing bibliographic analyses of works in many languages including English, French, German, and Latin. Overall, TL-2 provides the most comprehensive bibliographical and biographical coverage for systematic botany literature published between 1753 and 1940."
"Taxonomic Literature : A Selective Guide to Botanical Publications and Collections with Dates, Commentaries and Types (supp. 2)",http://rs.tdwg.org/tl/doc/s2/,http://rs.tdwg.org/tl/doc/s2/1988,text/html,1988,,,,,,See http://www.sil.si.edu/DigitalCollections/tl-2/history.cfm for introduction.,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=9#page/7,,http://www.tdwg.org/standards/111,"Authors Be-Bo. Taxonomic Literature: a selective guide to botanical publications and collections with dates, commentaries and types, also known as TL-2, is an indispensable and essential resource that supports the research of systematic botanists and zoologists. In addition, TL-2 is an important reference tool in the science information field for librarians and information professionals working in Botany and other life sciences. Its coverage is international providing bibliographic analyses of works in many languages including English, French, German, and Latin. Overall, TL-2 provides the most comprehensive bibliographical and biographical coverage for systematic botany literature published between 1753 and 1940."
"Taxonomic Literature : A Selective Guide to Botanical Publications and Collections with Dates, Commentaries and Types (supp. 3)",http://rs.tdwg.org/tl/doc/s3/,http://rs.tdwg.org/tl/doc/s3/1988,text/html,1988,,,,,,See http://www.sil.si.edu/DigitalCollections/tl-2/history.cfm for introduction.,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=10#page/7,,http://www.tdwg.org/standards/111,"Authors Br-Ca. Taxonomic Literature: a selective guide to botanical publications and collections with dates, commentaries and types, also known as TL-2, is an indispensable and essential resource that supports the research of systematic botanists and zoologists. In addition, TL-2 is an important reference tool in the science information field for librarians and information professionals working in Botany and other life sciences. Its coverage is international providing bibliographic analyses of works in many languages including English, French, German, and Latin. Overall, TL-2 provides the most comprehensive bibliographical and biographical coverage for systematic botany literature published between 1753 and 1940."
"Taxonomic Literature : A Selective Guide to Botanical Publications and Collections with Dates, Commentaries and Types (supp. 4)",http://rs.tdwg.org/tl/doc/s4/,http://rs.tdwg.org/tl/doc/s4/1988,text/html,1988,,,,,,See http://www.sil.si.edu/DigitalCollections/tl-2/history.cfm for introduction.,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=11#page/7,,http://www.tdwg.org/standards/111,"Authors Ce-Cz. Taxonomic Literature: a selective guide to botanical publications and collections with dates, commentaries and types, also known as TL-2, is an indispensable and essential resource that supports the research of systematic botanists and zoologists. In addition, TL-2 is an important reference tool in the science information field for librarians and information professionals working in Botany and other life sciences. Its coverage is international providing bibliographic analyses of works in many languages including English, French, German, and Latin. Overall, TL-2 provides the most comprehensive bibliographical and biographical coverage for systematic botany literature published between 1753 and 1940."
"Taxonomic Literature : A Selective Guide to Botanical Publications and Collections with Dates, Commentaries and Types (supp. 5)",http://rs.tdwg.org/tl/doc/s5/,http://rs.tdwg.org/tl/doc/s5/1988,text/html,1988,,,,,,See http://www.sil.si.edu/DigitalCollections/tl-2/history.cfm for introduction.,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=12#page/7,,http://www.tdwg.org/standards/111,"Authors Da-Di. Taxonomic Literature: a selective guide to botanical publications and collections with dates, commentaries and types, also known as TL-2, is an indispensable and essential resource that supports the research of systematic botanists and zoologists. In addition, TL-2 is an important reference tool in the science information field for librarians and information professionals working in Botany and other life sciences. Its coverage is international providing bibliographic analyses of works in many languages including English, French, German, and Latin. Overall, TL-2 provides the most comprehensive bibliographical and biographical coverage for systematic botany literature published between 1753 and 1940."
"Taxonomic Literature : A Selective Guide to Botanical Publications and Collections with Dates, Commentaries and Types (supp. 6)",http://rs.tdwg.org/tl/doc/s6/,http://rs.tdwg.org/tl/doc/s6/1988,text/html,1988,,,,,,See http://www.sil.si.edu/DigitalCollections/tl-2/history.cfm for introduction.,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=13#page/7,,http://www.tdwg.org/standards/111,"Authors Do-E. Taxonomic Literature: a selective guide to botanical publications and collections with dates, commentaries and types, also known as TL-2, is an indispensable and essential resource that supports the research of systematic botanists and zoologists. In addition, TL-2 is an important reference tool in the science information field for librarians and information professionals working in Botany and other life sciences. Its coverage is international providing bibliographic analyses of works in many languages including English, French, German, and Latin. Overall, TL-2 provides the most comprehensive bibliographical and biographical coverage for systematic botany literature published between 1753 and 1940."
"Taxonomic Literature : A Selective Guide to Botanical Publications and Collections with Dates, Commentaries and Types (supp. 7)",http://rs.tdwg.org/tl/doc/s7/,http://rs.tdwg.org/tl/doc/s7/1988,text/html,1988,,,,,,See http://www.sil.si.edu/DigitalCollections/tl-2/history.cfm for introduction.,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=14#page/7,,http://www.tdwg.org/standards/111,"Authors F-Frer. Taxonomic Literature: a selective guide to botanical publications and collections with dates, commentaries and types, also known as TL-2, is an indispensable and essential resource that supports the research of systematic botanists and zoologists. In addition, TL-2 is an important reference tool in the science information field for librarians and information professionals working in Botany and other life sciences. Its coverage is international providing bibliographic analyses of works in many languages including English, French, German, and Latin. Overall, TL-2 provides the most comprehensive bibliographical and biographical coverage for systematic botany literature published between 1753 and 1940."
"Taxonomic Literature : A Selective Guide to Botanical Publications and Collections with Dates, Commentaries and Types (supp. 8)",http://rs.tdwg.org/tl/doc/s8/,http://rs.tdwg.org/tl/doc/s8/1988,text/html,1988,,,,,,See http://www.sil.si.edu/DigitalCollections/tl-2/history.cfm for introduction.,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=15#page/7,,http://www.tdwg.org/standards/111,"Authors Fres-G. Taxonomic Literature: a selective guide to botanical publications and collections with dates, commentaries and types, also known as TL-2, is an indispensable and essential resource that supports the research of systematic botanists and zoologists. In addition, TL-2 is an important reference tool in the science information field for librarians and information professionals working in Botany and other life sciences. Its coverage is international providing bibliographic analyses of works in many languages including English, French, German, and Latin. Overall, TL-2 provides the most comprehensive bibliographical and biographical coverage for systematic botany literature published between 1753 and 1940."
B-P-H: Botanico-Periodicum-Huntianum (edition 1),http://rs.tdwg.org/bph/doc/,http://rs.tdwg.org/bph/doc/1968,print,1968,,,,,,Available only in print and is out of print.  See http://huntbotanical.org/publications/show.php?=92.,urn:isbn:091319610X,,http://www.tdwg.org/standards/112,This edition includes the abbreviations fo titles of periodicals.
B-P-H-2: Periodicals with Botanical content (edition 2),http://rs.tdwg.org/bph/doc/,http://rs.tdwg.org/bph/doc/2004,print,2004,,,,,,The second edition includes material in both the first edition of B-H-P and the 1991 B-P-H/S supplement.  The print version is out of print.  See http://huntbotanical.org/publications/show.php?=92. The online database is at http://huntbotanical.org/databases/show.php?1,,,http://www.tdwg.org/standards/112,This edition includes the abbreviations for titles of books.
